更新时间,#genre#
2024-10-24 17:10:52,url
📺央视频道,#genre#
CCTV-1,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://112.234.23.81:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://122.139.47.206:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://221.213.69.82:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://119.163.57.184:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://183.24.48.6:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://110.177.146.171:888/rtp/239.1.1.7:8007
CCTV-1,http://211.90.83.70:8002/rtp/226.0.2.153:9136
CCTV-1,http://183.191.180.63:8002/rtp/226.0.2.153:9136
CCTV-1,http://211.90.83.70:8002/rtp/226.0.2.18:8056
CCTV-1,http://183.191.180.63:8002/rtp/226.0.2.18:8056
CCTV-1,http://www.ly123.fun:10000/rtp/235.254.198.51:1480
CCTV-1,http://www.ly123.fun:10000/rtp/235.254.198.1:1280
CCTV-1,http://123.145.57.77:8004/rtp/225.0.4.74:7980
CCTV-1,http://180.113.67.53:8787/rtp/239.49.8.129:6000
CCTV-1,http://49.83.246.192:7000/rtp/239.49.8.129:6000
CCTV-1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
